Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Max Aarons,ENG,DF,0,1,0,0,2024-2025,Bournemouth,25,1,86,1.0,0.0,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0
Joshua Acheampong,ENG,DF,0,1,0,0,2024-2025,Chelsea,18,2,170,1.9,0.12,0.0,0.12,72.11,3.68,25.26,42.63,4.21,1.58,72.11,1.05,0.53,26.32,0.0,0.0,55.79,373.16,215.26,0.0,1.05,0.0,1.05,0.0,58.42,0.0
Tyler Adams,USA,MF,0,0,1,0,2024-2025,Bournemouth,26,13,1290,14.3,0.08,0.06,0.14,61.82,2.59,15.73,35.73,10.91,0.84,61.82,0.91,0.14,1.08,0.56,4.3,29.37,130.49,58.88,0.7,0.98,0.07,1.47,0.63,33.29,0.49
Tosin Adarabioyo,ENG,DF,0,1,0,0,2024-2025,Chelsea,27,11,1091,12.1,0.07,0.02,0.09,87.77,11.32,42.07,44.21,1.57,0.99,87.77,0.17,0.17,8.26,0.0,0.0,53.06,218.68,124.71,0.41,0.08,0.0,0.25,0.0,68.02,0.08
Simon Adingra,CIV,"FW,MF",0,0,1,1,2024-2025,Brighton,23,7,715,7.9,0.21,0.18,0.39,44.81,0.76,6.58,14.05,24.81,5.7,44.81,4.18,1.77,5.37,2.41,7.29,28.99,191.14,90.63,3.16,1.9,1.65,3.67,1.01,31.01,11.14
Emmanuel Agbadou,CIV,DF,0,1,0,0,2024-2025,Wolves,27,8,690,7.7,0.01,0.0,0.01,69.61,11.95,38.57,29.87,1.69,0.0,69.61,0.91,0.78,11.13,0.13,1.86,40.65,208.83,94.03,0.13,0.26,0.0,0.26,0.26,44.68,0.0
Asher Agbinone,ENG,MF,0,0,1,0,2024-2025,Crystal Palace,19,0,6,0.1,0.29,0.5,0.79,80.0,0.0,0.0,20.0,60.0,0.0,80.0,20.0,0.0,0.0,10.0,500.0,50.0,530.0,230.0,20.0,0.0,0.0,0.0,10.0,50.0,10.0
Ola Aina,NGA,DF,0,1,0,0,2024-2025,Nott'ham Forest,28,30,2569,28.5,0.02,0.03,0.05,51.3,4.84,18.91,21.4,11.86,0.74,51.3,2.25,1.02,1.59,0.84,1.32,22.07,141.26,81.68,1.89,1.23,0.35,1.37,0.74,24.25,1.82
Rayan Aït-Nouri,ALG,DF,0,1,0,0,2024-2025,Wolves,23,29,2462,27.4,0.07,0.1,0.17,60.84,2.85,16.82,26.53,18.25,2.34,60.84,3.43,1.68,1.78,1.28,1.36,31.79,173.76,90.88,2.34,1.86,0.66,1.31,1.31,36.86,5.11
Kristoffer Ajer,NOR,DF,0,1,0,0,2024-2025,Brentford,26,15,1213,13.5,0.05,0.09,0.14,49.85,3.11,16.3,23.33,10.59,2.44,49.85,1.04,0.52,3.7,0.44,3.18,24.96,140.67,80.89,1.85,0.67,0.15,0.89,0.81,32.22,2.81
Manuel Akanji,SUI,DF,0,1,0,0,2024-2025,Manchester City,29,20,1707,19.0,0.04,0.02,0.06,83.74,5.68,24.84,40.68,18.32,0.58,83.74,0.11,0.11,5.26,0.0,0.0,54.79,289.58,172.95,2.0,2.74,0.0,0.21,0.26,66.21,0.32
Nathan Aké,NED,DF,0,1,0,0,2024-2025,Manchester City,30,8,678,7.5,0.03,0.0,0.03,79.47,6.8,27.33,44.13,8.13,0.67,79.47,0.13,0.13,13.33,0.0,0.0,53.73,299.2,200.13,1.6,1.6,0.13,0.53,0.4,59.87,0.27
Carlos Alcaraz,ARG,MF,0,0,1,0,2024-2025,Southampton,22,0,10,0.1,0.62,0.86,1.48,170.0,0.0,10.0,80.0,90.0,20.0,170.0,20.0,0.0,0.0,20.0,1000.0,120.0,1120.0,980.0,40.0,10.0,0.0,0.0,0.0,120.0,10.0
Carlos Alcaraz,ARG,"MF,FW",0,0,1,1,2024-2025,Everton,22,4,394,4.4,0.28,0.26,0.53,48.64,2.05,9.32,20.0,20.68,2.5,48.64,2.27,1.36,13.64,0.68,6.82,25.91,157.73,89.09,2.27,2.73,0.0,1.14,1.82,30.68,1.82
Trent Alexander-Arnold,ENG,DF,0,1,0,0,2024-2025,Liverpool,26,26,2145,23.8,0.07,0.28,0.35,85.88,3.45,22.94,37.9,25.59,1.64,85.88,1.22,0.55,1.88,0.59,2.03,45.17,209.16,111.43,2.02,1.47,0.34,0.8,0.63,54.58,3.66
Alisson,BRA,GK,1,0,0,0,2024-2025,Liverpool,32,21,1878,20.9,0.0,0.03,0.03,32.63,23.88,31.96,0.67,0.0,0.0,32.63,0.05,0.05,4.78,0.0,0.0,21.39,86.27,50.86,0.0,0.0,0.0,0.05,0.0,19.47,0.0
Miguel Almirón,PAR,FW,0,0,0,1,2024-2025,Newcastle Utd,31,1,157,1.7,0.3,0.15,0.45,47.65,0.59,5.88,20.59,21.18,5.29,47.65,1.18,0.59,29.41,0.59,29.41,31.76,167.06,54.71,1.76,1.76,1.18,0.0,1.18,34.71,10.59
Edson Álvarez,MEX,MF,0,0,1,0,2024-2025,West Ham,27,18,1580,17.6,0.02,0.05,0.06,59.72,3.35,17.78,32.78,9.6,0.68,59.72,1.7,0.8,2.65,0.68,2.27,32.1,179.2,80.8,1.14,1.02,0.11,1.31,0.74,39.49,1.02
Will Alves,ENG,FW,0,0,0,1,2024-2025,Leicester City,20,0,1,0.0,0.0,0.0,0.0,inf,,,,inf,,inf,,,,,,inf,inf,inf,,,,,,inf,inf
Harry Amass,ENG,DF,0,1,0,0,2024-2025,Manchester Utd,18,0,22,0.2,0.0,0.0,0.0,135.0,15.0,60.0,45.0,30.0,0.0,135.0,0.0,0.0,,0.0,,55.0,220.0,50.0,0.0,0.0,0.0,5.0,15.0,50.0,5.0
Samuel Amo-Ameyaw,ENG,"FW,DF",0,1,0,1,2024-2025,Southampton,18,0,28,0.3,0.07,0.22,0.29,53.33,0.0,16.67,16.67,23.33,3.33,53.33,13.33,0.0,0.0,10.0,250.0,36.67,326.67,226.67,3.33,0.0,3.33,0.0,6.67,36.67,10.0
Mathis Amougou,FRA,MF,0,0,1,0,2024-2025,Chelsea,19,0,8,0.1,0.0,0.0,0.0,90.0,10.0,20.0,40.0,30.0,0.0,90.0,0.0,0.0,,0.0,,70.0,250.0,50.0,0.0,10.0,0.0,0.0,10.0,60.0,0.0
Joachim Andersen,DEN,DF,0,1,0,0,2024-2025,Crystal Palace,28,1,90,1.0,0.04,0.0,0.04,93.0,14.0,38.0,50.0,5.0,0.0,93.0,0.0,0.0,,0.0,,49.0,189.0,103.0,1.0,1.0,0.0,0.0,1.0,67.0,1.0
Joachim Andersen,DEN,DF,0,1,0,0,2024-2025,Fulham,28,21,1863,20.7,0.02,0.02,0.04,83.57,12.17,43.38,37.54,3.14,0.63,83.57,0.19,0.19,4.83,0.0,0.0,49.52,228.84,112.85,0.53,0.39,0.05,0.19,0.14,58.89,0.05
Elliot Anderson,ENG,MF,0,0,1,0,2024-2025,Nott'ham Forest,22,25,2047,22.7,0.06,0.13,0.19,58.37,3.26,13.48,27.27,18.81,2.33,58.37,2.86,1.41,2.17,1.1,1.7,29.21,162.33,74.71,1.54,1.19,0.66,2.2,1.45,34.19,3.08
André,BRA,MF,0,0,1,0,2024-2025,Wolves,23,23,1817,20.2,0.01,0.03,0.04,56.78,3.81,15.59,36.49,5.1,0.1,56.78,1.04,0.5,2.36,0.35,1.65,30.5,129.7,58.61,0.35,0.64,0.0,0.94,0.59,38.12,0.5
Michail Antonio,JAM,FW,0,0,0,1,2024-2025,West Ham,35,11,836,9.3,0.24,0.17,0.41,31.83,0.32,2.8,13.33,16.24,3.87,31.83,2.9,0.97,3.58,1.4,5.17,18.6,126.56,74.73,3.12,1.4,0.97,3.76,2.04,23.76,6.34
Antony,BRA,"DF,MF",0,1,1,0,2024-2025,Manchester Utd,25,0,141,1.6,0.65,0.08,0.73,63.12,1.25,13.75,16.25,33.75,5.0,63.12,6.88,2.5,22.75,3.75,34.06,37.5,198.12,113.75,3.12,3.75,0.62,3.12,0.62,43.12,4.38
Julian Araujo,MEX,DF,0,1,0,0,2024-2025,Bournemouth,23,5,355,3.9,0.0,0.0,0.0,51.28,3.85,17.44,26.41,8.21,0.26,51.28,0.0,0.0,,0.0,,21.54,74.36,35.38,0.51,0.0,0.0,1.03,0.51,25.64,2.82
Cameron Archer,ENG,FW,0,0,0,1,2024-2025,Southampton,23,11,1182,13.1,0.37,0.03,0.4,24.2,0.92,3.74,10.99,9.69,3.44,24.12,2.14,0.92,3.27,1.15,4.09,13.89,70.23,32.75,1.22,0.46,0.99,2.14,1.68,16.64,4.2
Alphonse Areola,FRA,GK,1,0,0,0,2024-2025,West Ham,32,18,1630,18.1,0.0,0.0,0.0,42.27,34.09,41.93,0.33,0.0,0.0,42.27,0.0,0.0,,0.0,,23.54,96.57,50.28,0.0,0.0,0.0,0.0,0.0,21.77,0.0
Joe Aribo,NGA,"MF,DF",0,1,1,0,2024-2025,Southampton,28,19,1846,20.5,0.13,0.08,0.21,56.98,2.24,13.8,30.1,13.61,2.05,56.98,2.24,0.88,1.91,1.07,2.33,33.51,183.9,90.98,1.66,1.27,0.54,1.12,0.78,41.46,3.02
Adam Armstrong,ENG,"FW,MF",0,0,1,1,2024-2025,Southampton,28,15,1248,13.9,0.24,0.09,0.32,27.12,0.79,3.17,10.29,13.81,3.53,27.05,1.01,0.43,3.09,0.58,4.11,16.91,95.25,43.09,1.8,0.94,0.43,0.79,1.29,20.58,5.68
Harrison Armstrong,ENG,MF,0,0,1,0,2024-2025,Everton,18,0,48,0.5,0.69,0.14,0.82,40.0,0.0,6.0,24.0,14.0,4.0,40.0,2.0,2.0,200.0,0.0,0.0,30.0,220.0,86.0,2.0,4.0,0.0,4.0,6.0,28.0,0.0
Kepa Arrizabalaga,ESP,GK,1,0,0,0,2024-2025,Bournemouth,30,23,2070,23.0,0.0,0.0,0.0,34.74,25.52,33.87,0.83,0.04,0.04,34.74,0.04,0.04,4.35,0.0,0.0,20.0,97.65,56.26,0.0,0.0,0.0,0.0,0.0,15.52,0.0
Marco Asensio,ESP,"MF,FW",0,0,1,1,2024-2025,Aston Villa,29,2,233,2.6,0.69,0.11,0.79,48.85,0.38,5.0,23.46,21.92,3.85,48.85,1.92,1.54,30.77,0.38,7.69,30.77,178.85,98.46,3.85,4.23,0.38,1.15,0.77,32.31,3.46
Brandon Austin,ENG,GK,1,0,0,0,2024-2025,Tottenham,26,1,90,1.0,0.0,0.0,0.0,36.0,30.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,,0.0,,22.0,104.0,46.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Taiwo Awoniyi,NGA,FW,0,0,0,1,2024-2025,Nott'ham Forest,27,3,363,4.0,0.53,0.03,0.56,37.5,1.0,3.25,17.0,17.5,5.25,37.5,2.0,0.75,9.38,1.25,15.62,20.5,92.5,46.25,1.5,1.25,0.5,4.25,4.0,25.75,4.75
Yasin Ayari,SWE,MF,0,0,1,0,2024-2025,Brighton,21,17,1533,17.0,0.11,0.12,0.24,55.76,2.71,12.65,28.06,15.82,2.24,55.76,2.18,0.94,2.54,0.76,2.06,28.06,135.59,60.24,1.24,0.94,0.29,1.82,1.24,35.82,3.18
Jordan Ayew,GHA,"FW,MF",0,0,1,1,2024-2025,Crystal Palace,33,0,21,0.2,1.96,0.21,2.17,60.0,0.0,0.0,35.0,25.0,5.0,60.0,0.0,0.0,,0.0,,30.0,125.0,60.0,0.0,0.0,0.0,0.0,5.0,45.0,5.0
Jordan Ayew,GHA,"FW,MF",0,0,1,1,2024-2025,Leicester City,33,15,1310,14.6,0.19,0.05,0.25,44.45,1.23,6.1,22.67,17.19,3.15,44.38,3.56,1.3,2.5,1.85,3.55,26.51,181.51,82.05,2.6,2.05,0.48,3.49,2.12,29.73,4.66
Benoît Badiashile,FRA,DF,0,1,0,0,2024-2025,Chelsea,24,3,334,3.7,0.0,0.0,0.0,90.81,8.38,37.3,50.27,3.51,0.0,90.81,0.27,0.0,0.0,0.27,27.03,47.84,178.38,91.89,0.81,1.35,0.0,0.27,0.0,66.76,0.54
Leon Bailey,JAM,"FW,MF",0,0,1,1,2024-2025,Aston Villa,27,14,1138,12.6,0.14,0.12,0.26,42.78,1.43,6.03,12.3,25.24,5.48,42.78,4.52,1.75,3.06,1.9,3.34,27.3,201.59,105.87,4.52,1.75,2.62,2.78,1.98,30.63,9.6
Carlos Baleba,CMR,MF,0,0,1,0,2024-2025,Brighton,21,23,1967,21.9,0.13,0.05,0.18,54.52,2.47,12.65,32.24,11.23,0.46,54.52,2.1,1.23,2.68,0.73,1.59,29.09,169.77,85.84,1.51,1.46,0.09,1.37,1.32,31.87,1.19
Ross Barkley,ENG,MF,0,0,1,0,2024-2025,Aston Villa,31,3,554,6.2,0.27,0.09,0.37,69.19,2.58,10.97,41.13,18.06,2.74,69.19,1.61,1.29,12.9,0.32,3.23,40.97,222.1,103.23,2.26,2.1,0.32,0.81,1.29,48.71,1.29
Harvey Barnes,ENG,FW,0,0,0,1,2024-2025,Newcastle Utd,27,8,992,11.0,0.34,0.27,0.61,42.91,0.91,5.82,13.64,23.45,6.64,42.91,3.45,1.45,3.83,1.55,4.06,31.09,223.82,123.91,5.0,2.45,2.64,1.64,1.09,34.64,9.64
Calvin Bassey,NGA,DF,0,1,0,0,2024-2025,Fulham,25,27,2444,27.2,0.04,0.0,0.04,72.32,9.49,35.11,34.08,3.79,0.55,72.32,0.92,0.4,1.62,0.33,1.32,46.4,230.15,128.9,0.81,0.51,0.11,0.99,0.26,50.22,0.4
Jan Bednarek,POL,DF,0,1,0,0,2024-2025,Southampton,28,24,1991,22.1,0.03,0.02,0.05,78.37,13.71,40.9,36.15,1.63,0.59,78.37,0.14,0.14,4.52,0.0,0.0,39.73,143.08,67.6,0.18,0.23,0.05,0.41,0.14,50.45,0.05
Armel Bella Kotchap,GER,DF,0,1,0,0,2024-2025,Southampton,23,2,331,3.7,0.09,0.0,0.09,71.08,8.92,39.73,31.08,0.81,0.27,71.08,0.27,0.0,0.0,0.27,27.03,50.27,252.97,88.11,0.0,0.0,0.0,0.27,0.0,51.89,0.0
Jean-Ricner Bellegarde,FRA,"MF,FW",0,0,1,1,2024-2025,Wolves,26,16,1374,15.3,0.08,0.21,0.29,43.2,1.31,7.45,19.74,16.99,2.55,43.2,3.59,0.72,1.31,2.03,3.69,26.6,167.91,83.14,2.68,2.03,0.59,2.03,1.37,30.13,5.03
Rodrigo Bentancur,URU,MF,0,0,1,0,2024-2025,Tottenham,27,16,1246,13.8,0.1,0.03,0.13,74.06,4.06,17.61,44.35,12.75,1.45,74.06,1.09,0.51,3.38,0.43,2.9,44.13,201.96,81.67,1.38,1.3,0.36,0.87,1.16,49.13,1.74
Sander Berge,NOR,MF,0,0,1,0,2024-2025,Fulham,27,19,1734,19.3,0.01,0.03,0.04,56.63,3.52,15.91,32.8,8.19,0.52,56.63,0.78,0.41,2.76,0.26,1.73,32.38,170.83,72.44,0.98,0.88,0.1,0.36,0.57,36.01,0.31
Lucas Bergvall,SWE,MF,0,0,1,0,2024-2025,Tottenham,19,8,934,10.4,0.05,0.04,0.09,71.73,2.79,14.9,39.71,18.27,1.54,71.73,3.75,1.83,4.68,1.54,3.94,43.17,273.08,128.08,2.31,1.63,0.29,1.73,1.35,47.98,2.21
Victor Bernth Kristiansen,DEN,DF,0,1,0,0,2024-2025,Leicester City,22,27,2335,25.9,0.01,0.05,0.06,60.08,4.32,21.66,26.95,11.97,0.58,60.08,0.62,0.27,1.69,0.31,1.93,30.5,145.87,68.69,1.47,0.93,0.19,0.46,0.46,33.05,2.74
Beto,GNB,FW,0,0,0,1,2024-2025,Everton,27,9,1010,11.2,0.52,0.06,0.58,31.16,1.7,3.04,13.75,14.82,5.0,31.16,2.59,1.34,4.62,1.16,4.0,16.96,86.16,32.77,1.07,0.71,0.62,4.11,2.5,22.86,4.73
Philip Billing,DEN,MF,0,0,1,0,2024-2025,Bournemouth,28,1,184,2.0,0.28,0.54,0.82,74.0,2.5,10.0,36.0,28.5,6.0,74.0,1.5,0.5,16.65,0.0,0.0,29.0,127.0,81.5,1.5,0.5,0.5,3.5,2.0,37.5,6.5
Yves Bissouma,MLI,MF,0,0,1,0,2024-2025,Tottenham,28,14,1145,12.7,0.04,0.02,0.06,69.13,4.41,19.53,38.98,11.1,0.39,69.13,1.57,0.47,2.36,1.1,5.51,41.5,244.41,113.07,1.18,1.34,0.0,1.73,0.94,47.87,0.24
Oscar Bobb,NOR,FW,0,0,0,1,2024-2025,Manchester City,21,0,6,0.1,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,20.0,0.0,0.0,,0.0,,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Lamare Bogarde,NED,"DF,MF",0,1,1,0,2024-2025,Aston Villa,21,5,476,5.3,0.01,0.02,0.03,61.32,3.02,17.92,36.04,7.55,0.75,61.32,0.75,0.38,9.43,0.19,4.72,32.64,194.53,113.02,2.26,1.13,0.19,1.13,1.51,40.0,1.7
Willy Boly,CIV,DF,0,1,0,0,2024-2025,Nott'ham Forest,34,1,134,1.5,0.05,0.0,0.05,57.33,13.33,38.67,17.33,1.33,0.67,57.33,0.0,0.0,,0.0,,22.0,76.67,23.33,0.0,0.0,0.0,0.67,0.0,27.33,0.0
Sven Botman,NED,DF,0,1,0,0,2024-2025,Newcastle Utd,25,3,224,2.5,0.01,0.0,0.01,62.4,9.6,25.2,35.6,2.0,2.0,62.4,1.2,0.4,13.32,0.4,13.32,32.8,140.0,68.4,0.0,0.0,0.0,0.4,0.0,40.4,0.0
Jarrod Bowen,ENG,"FW,MF",0,0,1,1,2024-2025,West Ham,28,26,2276,25.3,0.25,0.21,0.46,38.46,0.79,4.43,13.87,20.99,5.18,38.42,4.03,1.5,1.47,2.21,2.17,22.45,166.05,81.78,3.44,1.46,1.78,2.21,2.29,24.74,6.17
Conor Bradley,NIR,DF,0,1,0,0,2024-2025,Liverpool,21,2,372,4.1,0.12,0.0,0.12,83.66,3.66,25.61,35.85,23.41,4.88,83.66,1.71,0.73,10.46,0.98,13.93,45.37,267.56,144.88,4.15,2.2,1.22,1.95,0.24,51.46,4.39
Jarrad Branthwaite,ENG,DF,0,1,0,0,2024-2025,Everton,22,21,1898,21.1,0.04,0.03,0.06,53.32,7.73,28.53,22.61,2.42,0.9,53.32,0.24,0.14,2.84,0.05,0.95,25.55,141.23,85.02,0.38,0.62,0.09,0.33,0.14,30.47,0.05
James Bree,ENG,DF,0,1,0,0,2024-2025,Southampton,27,11,890,9.9,0.01,0.09,0.1,60.4,4.24,19.6,26.36,14.95,1.01,60.4,0.81,0.4,5.05,0.2,2.53,31.92,138.59,69.49,0.91,1.11,0.0,0.61,0.4,38.89,3.43
Ben Brereton,CHI,FW,0,0,0,1,2024-2025,Southampton,25,4,449,5.0,0.18,0.02,0.2,41.2,0.8,3.8,15.2,22.4,4.0,41.2,0.8,0.2,5.0,0.4,10.0,27.2,158.2,78.8,2.4,2.6,0.8,1.8,0.8,34.2,8.4
Nathan Broadhead,WAL,"MF,FW",0,0,1,1,2024-2025,Ipswich Town,26,5,526,5.8,0.26,0.11,0.37,42.76,1.21,6.21,21.21,16.9,3.28,42.76,5.0,2.41,8.33,2.24,7.72,23.62,168.28,77.24,2.41,1.9,0.69,2.41,1.72,30.0,3.79
Armando Broja,ALB,FW,0,0,0,1,2024-2025,Everton,23,2,183,2.0,0.06,0.06,0.11,38.0,1.5,4.5,11.0,24.5,6.5,38.0,6.0,3.0,25.0,2.5,20.85,19.0,226.5,122.5,5.0,3.0,1.5,4.0,4.0,26.5,8.5
David Brooks,WAL,FW,0,0,0,1,2024-2025,Bournemouth,27,8,769,8.5,0.26,0.19,0.44,47.76,1.18,5.65,17.88,25.18,3.65,47.76,3.41,0.94,3.25,2.12,7.31,29.41,200.0,91.06,2.94,2.35,0.94,2.94,1.18,32.0,8.12
Emi Buendía,ARG,"MF,FW",0,0,1,1,2024-2025,Aston Villa,28,0,98,1.1,0.6,0.02,0.62,74.55,0.0,15.45,31.82,28.18,2.73,74.55,1.82,0.0,0.0,1.82,90.91,48.18,168.18,108.18,2.73,4.55,0.0,3.64,2.73,58.18,5.45
Santiago Bueno,URU,DF,0,1,0,0,2024-2025,Wolves,26,17,1533,17.0,0.03,0.0,0.03,55.12,8.88,27.94,26.29,1.06,0.35,55.12,0.12,0.0,0.0,0.12,5.88,30.24,153.71,80.94,0.06,0.12,0.0,0.12,0.12,36.12,0.06
Facundo Buonanotte,ARG,"FW,MF",0,0,1,1,2024-2025,Leicester City,20,13,1354,15.0,0.23,0.19,0.42,51.4,1.53,7.47,26.27,18.53,2.07,51.4,4.67,1.6,2.29,2.8,4.0,28.2,178.2,81.93,2.47,1.73,0.53,3.33,2.27,31.67,4.13
Cameron Burgess,AUS,DF,0,1,0,0,2024-2025,Ipswich Town,29,11,1035,11.5,0.06,0.03,0.09,60.87,13.13,35.13,22.35,3.39,1.74,60.87,0.0,0.0,,0.0,,29.13,136.87,71.48,0.17,0.26,0.0,0.17,0.0,36.0,0.26
Dan Burn,ENG,DF,0,1,0,0,2024-2025,Newcastle Utd,32,28,2520,28.0,0.04,0.02,0.06,62.61,10.86,36.11,23.82,2.79,1.29,62.61,0.11,0.11,3.57,0.0,0.0,35.82,164.5,71.89,0.21,0.11,0.04,0.64,0.07,42.0,0.21
Wes Burns,WAL,"FW,DF",0,1,0,1,2024-2025,Ipswich Town,30,12,926,10.3,0.05,0.16,0.21,33.98,2.04,6.7,12.52,15.53,1.75,33.98,2.33,0.87,3.64,1.36,5.66,20.97,141.55,67.57,3.69,1.26,0.97,1.65,1.26,21.36,6.31
Moisés Caicedo,ECU,MF,0,0,1,0,2024-2025,Chelsea,23,29,2541,28.2,0.02,0.09,0.11,71.56,2.52,15.43,44.11,12.7,0.39,71.56,1.49,0.6,1.44,0.57,1.35,39.96,186.13,87.94,1.13,0.82,0.07,1.06,0.64,50.71,0.99
Tom Cairney,SCO,MF,0,0,1,0,2024-2025,Fulham,34,2,438,4.9,0.03,0.14,0.17,103.27,1.02,14.08,56.12,34.49,1.43,103.27,2.24,0.82,7.43,0.61,5.57,70.0,342.04,164.69,2.65,3.06,0.61,0.82,0.61,85.1,4.29
Jens Cajuste,SWE,MF,0,0,1,0,2024-2025,Ipswich Town,25,20,1524,16.9,0.02,0.02,0.05,46.04,2.6,12.96,24.02,9.82,0.65,46.04,2.31,1.3,3.34,0.71,1.82,21.48,118.4,64.2,1.3,1.18,0.18,0.95,0.65,26.75,0.77
Riccardo Calafiori,ITA,DF,0,1,0,0,2024-2025,Arsenal,22,11,925,10.3,0.08,0.03,0.11,60.97,2.91,15.63,24.17,21.55,2.82,60.97,1.26,0.87,6.72,0.29,2.24,28.25,152.62,81.46,2.04,1.17,0.29,1.07,0.49,36.6,2.82
Dominic Calvert-Lewin,ENG,FW,0,0,0,1,2024-2025,Everton,28,19,1574,17.5,0.35,0.04,0.39,28.06,1.2,2.17,11.66,14.51,4.69,28.06,1.43,0.57,2.29,0.74,2.97,15.31,79.89,25.37,1.26,0.46,0.91,4.06,1.83,22.97,6.0
Diego Carlos,BRA,DF,0,1,0,0,2024-2025,Aston Villa,32,8,830,9.2,0.07,0.0,0.07,73.26,9.35,35.98,35.87,1.63,0.65,73.26,0.22,0.22,10.87,0.0,0.0,45.54,231.85,126.3,0.33,0.33,0.0,0.11,0.22,52.28,0.0
Fabio Carvalho,POR,"FW,MF",0,0,1,1,2024-2025,Brentford,22,3,455,5.1,0.49,0.13,0.62,48.43,0.78,8.63,17.84,22.16,4.31,48.43,2.75,0.39,2.8,1.96,14.0,26.86,136.86,69.8,1.76,0.59,0.0,2.55,1.57,28.43,4.51
Casemiro,BRA,MF,0,0,1,0,2024-2025,Manchester Utd,33,14,1181,13.1,0.11,0.17,0.28,74.81,4.89,21.68,38.32,15.34,2.52,74.81,0.46,0.23,3.82,0.23,3.82,39.62,123.44,57.02,0.31,0.69,0.0,0.69,0.76,48.4,1.91
Kaelan Casey,ENG,DF,0,1,0,0,2024-2025,West Ham,20,0,1,0.0,0.0,0.0,0.0,inf,inf,inf,,,,inf,,,,,,,,,,,,,,,
Matty Cash,POL,DF,0,1,0,0,2024-2025,Aston Villa,27,17,1476,16.4,0.02,0.07,0.08,51.04,3.54,18.48,20.79,12.38,2.01,51.04,1.89,0.91,2.95,0.85,2.76,25.12,164.63,83.54,2.38,1.89,0.24,0.98,0.37,28.78,3.23
Eiran Cashin,IRL,DF,0,1,0,0,2024-2025,Brighton,23,0,19,0.2,0.0,0.0,0.0,155.0,10.0,50.0,100.0,5.0,0.0,155.0,5.0,0.0,0.0,5.0,500.0,105.0,780.0,535.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0
Timothy Castagne,BEL,DF,0,1,0,0,2024-2025,Fulham,29,15,1432,15.9,0.02,0.08,0.1,64.09,4.84,24.34,25.85,14.21,1.82,64.09,0.57,0.25,2.79,0.19,2.09,31.38,127.17,62.08,1.01,0.82,0.06,0.69,0.31,37.99,4.09
Trevoh Chalobah,ENG,DF,0,1,0,0,2024-2025,Crystal Palace,25,12,1060,11.8,0.1,0.03,0.14,50.34,5.59,23.31,23.39,4.32,1.19,50.34,0.85,0.51,5.08,0.17,1.69,23.56,102.8,56.02,0.93,0.76,0.08,0.34,0.59,26.86,0.51
Trevoh Chalobah,ENG,DF,0,1,0,0,2024-2025,Chelsea,25,4,296,3.3,0.07,0.34,0.41,85.76,6.36,38.79,42.12,6.06,1.21,85.76,0.61,0.3,15.15,0.0,0.0,44.85,178.48,80.61,0.61,0.61,0.0,0.0,0.0,64.55,0.0
Conor Chaplin,ENG,"MF,FW",0,0,1,1,2024-2025,Ipswich Town,28,7,614,6.8,0.17,0.09,0.26,41.32,0.88,6.76,20.74,14.56,1.76,41.32,0.88,0.44,7.35,0.44,7.35,20.29,102.5,55.88,1.47,1.03,0.0,1.32,0.44,28.24,2.94
Youssef Chermiti,POR,"FW,MF",0,0,1,1,2024-2025,Everton,20,0,17,0.2,0.36,0.0,0.36,40.0,0.0,0.0,10.0,30.0,10.0,40.0,5.0,5.0,500.0,0.0,0.0,20.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0
Federico Chiesa,ITA,FW,0,0,0,1,2024-2025,Liverpool,27,0,28,0.3,0.52,0.0,0.52,76.67,0.0,6.67,36.67,33.33,10.0,76.67,3.33,0.0,0.0,3.33,333.33,60.0,223.33,113.33,6.67,0.0,3.33,3.33,10.0,60.0,13.33
Ben Chilwell,ENG,DF,0,1,0,0,2024-2025,Crystal Palace,28,0,84,0.9,0.05,0.19,0.24,76.67,3.33,24.44,31.11,22.22,1.11,76.67,2.22,0.0,0.0,1.11,55.56,34.44,152.22,106.67,1.11,0.0,0.0,1.11,2.22,35.56,7.78
Chiquinho,POR,MF,0,0,1,0,2024-2025,Wolves,25,0,7,0.1,0.0,0.42,0.42,30.0,0.0,0.0,10.0,20.0,10.0,30.0,0.0,0.0,,0.0,,10.0,130.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
