Player,Nation,Pos,is_gk,is_df,is_mf,is_fw,Season,Squad,Age,Starts,Min,90s,xG.1,xAG.1,xG+xAG,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Matheus Nunes,POR,MF,0,0,1,0,2023-2024,Manchester City,24,7,661,7.3,0.11,0.15,0.27,72.47,1.78,8.08,32.05,33.29,4.93,72.47,3.15,1.23,5.36,1.78,7.74,47.53,274.11,132.05,3.84,3.01,1.37,2.6,1.64,60.0,7.95
Darwin Núñez,URU,FW,0,0,0,1,2023-2024,Liverpool,24,22,2047,22.7,0.72,0.27,0.98,34.23,0.57,1.81,9.87,23.17,8.46,34.19,1.94,0.66,1.5,0.88,2.0,20.62,118.68,56.34,2.56,1.54,1.59,2.33,1.28,25.33,9.07
Ethan Nwaneri,ENG,FW,0,0,0,1,2023-2024,Arsenal,16,0,14,0.2,0.0,0.15,0.15,100.0,0.0,0.0,45.0,55.0,10.0,100.0,5.0,0.0,0.0,0.0,0.0,80.0,615.0,330.0,10.0,10.0,0.0,0.0,0.0,85.0,5.0
Christian Nørgaard,DEN,MF,0,0,1,0,2023-2024,Brentford,29,30,2505,27.8,0.12,0.07,0.19,66.4,3.56,18.78,33.96,13.96,2.05,66.4,0.4,0.22,1.96,0.14,1.31,31.4,121.12,58.74,0.54,0.97,0.11,0.76,0.54,39.17,1.51
Mark O'Mahony,IRL,FW,0,0,0,1,2023-2024,Brighton,18,1,63,0.7,0.08,0.0,0.08,38.57,2.86,8.57,21.43,8.57,2.86,38.57,0.0,0.0,,0.0,,22.86,94.29,14.29,0.0,0.0,0.0,5.71,0.0,30.0,0.0
Dara O'Shea,IRL,DF,0,1,0,0,2023-2024,Burnley,24,32,2892,32.1,0.02,0.06,0.08,65.23,9.53,30.19,30.9,4.42,1.53,65.23,0.06,0.03,1.56,0.03,1.56,34.64,178.35,109.81,1.0,0.44,0.03,0.34,0.03,40.69,0.31
Michael Obafemi,IRL,"FW,MF",0,0,1,1,2023-2024,Burnley,23,0,20,0.2,0.4,0.0,0.4,45.0,0.0,0.0,15.0,30.0,20.0,45.0,15.0,15.0,500.0,0.0,0.0,30.0,160.0,55.0,0.0,0.0,0.0,0.0,5.0,30.0,15.0
Wilson Odobert,FRA,"MF,FW",0,0,1,1,2023-2024,Burnley,18,25,2098,23.3,0.12,0.14,0.26,36.22,1.12,6.18,13.09,17.85,4.21,36.22,4.72,2.27,2.07,2.1,1.91,23.39,195.79,125.28,4.38,2.4,2.06,2.06,1.29,25.75,5.28
Odeluga Offiah,ENG,DF,0,1,0,0,2023-2024,Brighton,20,1,128,1.4,0.0,0.0,0.0,62.14,0.71,22.14,19.29,22.14,1.43,62.14,4.29,2.86,47.64,0.71,11.93,42.14,298.57,191.43,6.43,3.57,0.71,0.71,0.0,45.71,6.43
Chiedozie Ogbene,IRL,"MF,DF",0,1,1,0,2023-2024,Luton Town,26,20,1995,22.2,0.19,0.14,0.33,48.02,2.12,9.05,17.34,23.06,3.96,48.02,5.45,2.75,2.27,1.98,1.64,29.28,273.42,167.12,5.72,3.33,2.03,2.66,0.95,29.73,6.76
Angelo Ogbonna,ITA,DF,0,1,0,0,2023-2024,West Ham,35,7,635,7.1,0.01,0.0,0.01,38.31,8.59,25.92,11.55,0.85,0.56,38.31,0.14,0.14,14.08,0.0,0.0,19.3,102.54,37.04,0.28,0.0,0.14,0.0,0.0,21.41,0.0
Michael Olakigbe,ENG,"DF,FW",0,1,0,1,2023-2024,Brentford,19,0,59,0.7,0.18,0.0,0.18,100.0,0.0,15.71,30.0,54.29,14.29,100.0,15.71,4.29,39.0,10.0,90.86,60.0,624.29,327.14,14.29,7.14,4.29,5.71,1.43,68.57,24.29
Michael Olise,FRA,"FW,MF",0,0,1,1,2023-2024,Crystal Palace,21,14,1275,14.2,0.39,0.41,0.8,67.54,0.7,7.18,27.89,34.01,5.63,67.46,5.85,2.82,3.39,2.32,2.8,39.65,280.21,155.63,4.79,3.52,1.9,2.89,2.32,48.73,9.44
Robin Olsen,SWE,GK,1,0,0,0,2023-2024,Aston Villa,33,4,405,4.5,0.0,0.0,0.0,48.0,44.44,47.78,0.22,0.0,0.0,48.0,0.0,0.0,,0.0,,29.11,139.11,67.33,0.0,0.0,0.0,0.0,0.0,25.56,0.0
Andrew Omobamidele,IRL,DF,0,1,0,0,2023-2024,Nott'ham Forest,21,8,783,8.7,0.02,0.01,0.03,45.86,8.74,25.52,18.85,1.61,0.57,45.86,0.0,0.0,,0.0,,24.94,124.37,49.31,0.11,0.0,0.0,0.34,0.0,28.28,0.0
Amadou Onana,BEL,MF,0,0,1,0,2023-2024,Everton,21,23,2091,23.2,0.09,0.11,0.2,55.65,2.63,12.07,31.21,12.8,1.25,55.65,1.16,0.52,1.91,0.34,1.28,28.32,128.66,59.31,0.91,1.29,0.22,0.86,0.43,36.16,1.68
André Onana,CMR,GK,1,0,0,0,2023-2024,Manchester Utd,27,38,3420,38.0,0.0,0.0,0.0,42.87,32.21,41.89,0.97,0.0,0.0,42.87,0.03,0.03,2.63,0.0,0.0,29.66,157.82,100.66,0.03,0.0,0.0,0.03,0.0,25.13,0.0
Ryan One,SCO,FW,0,0,0,1,2023-2024,Sheffield Utd,17,0,8,0.1,0.0,0.0,0.0,20.0,10.0,10.0,10.0,10.0,0.0,20.0,0.0,0.0,,0.0,,10.0,110.0,110.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
Tyler Onyango,ENG,MF,0,0,1,0,2023-2024,Everton,20,0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Fred Onyedinma,ENG,"DF,MF",0,1,1,0,2023-2024,Luton Town,26,4,407,4.5,0.04,0.02,0.06,44.0,2.89,12.22,15.33,16.89,3.56,44.0,2.44,0.44,4.04,1.78,16.16,18.89,114.22,48.67,2.0,1.33,0.89,2.67,2.22,20.0,4.67
Frank Onyeka,NGA,MF,0,0,1,0,2023-2024,Brentford,25,11,1161,12.9,0.17,0.14,0.31,45.35,2.48,9.92,22.48,13.72,2.17,45.35,2.25,0.85,2.94,1.09,3.74,25.19,125.89,45.97,1.32,1.16,0.31,2.56,0.93,26.05,3.02
Divock Origi,BEL,FW,0,0,0,1,2023-2024,Nott'ham Forest,28,6,606,6.7,0.21,0.31,0.51,33.58,0.45,3.43,15.37,15.67,3.88,33.58,3.58,1.34,5.6,1.79,7.46,21.49,136.42,61.04,2.84,1.34,1.34,2.39,1.49,25.67,6.12
Stefan Ortega,GER,GK,1,0,0,0,2023-2024,Manchester City,30,5,635,7.1,0.0,0.0,0.0,39.72,30.0,39.3,0.42,0.0,0.0,39.72,0.0,0.0,,0.0,,27.18,119.3,67.61,0.0,0.0,0.0,0.0,0.0,26.34,0.0
Ben Osborn,ENG,"DF,MF",0,1,1,0,2023-2024,Sheffield Utd,28,14,1367,15.2,0.01,0.06,0.07,48.36,2.43,13.82,20.72,14.21,0.59,48.36,0.92,0.46,3.29,0.46,3.29,24.61,108.29,49.34,1.05,0.72,0.07,0.92,0.66,27.57,2.89
Gabriel Osho,NGA,DF,0,1,0,0,2023-2024,Luton Town,24,21,1846,20.5,0.05,0.01,0.06,47.22,8.73,26.1,18.73,2.93,0.98,47.22,0.59,0.34,2.84,0.24,2.03,22.49,106.63,53.66,0.49,0.44,0.05,0.59,0.49,23.51,0.2
